All data are per superstep
#Border Thickness, Send Gap, Recv Gap, Com validation gap, total, runtime
DATA,50
b5,0.0001503492663946929,6.586551067564285e-06,3.3655073604589286e-06,0.00016030132482271612,71.3772553470917
b6,0.0001778035411714333,6.84161463545e-06,3.2857163912722224e-06,0.00018793087219815552,70.79514015093446
b7,0.0002090465927881143,7.023793157371427e-06,3.592787487875397e-06,0.00021966317343336114,71.01872959593311
b8,0.00023770771970571961,7.544279131778571e-06,4.19358340358125e-06,0.00024944558224107945,71.19466551812366
b9,0.0002500693117903571,7.923677681904762e-06,7.544093514009921e-06,0.00026553708298627176,72.40986156230792
DATA,2500
b0,1.629002314681786e-05,4.50444058515119e-06,1.0800118269841269e-06,2.1874475558953176e-05,73.60470825294033
b1,4.374218803445952e-05,5.043440106664285e-06,1.4911067583376982e-06,5.027673489946151e-05,74.55988529906608
b2,8.404263949376249e-05,5.601845692757143e-06,2.6939241381892854e-06,9.233840932470892e-05,75.35049771727063
b3,0.00011735352214484762,5.36027697047619e-06,1.302048275690873e-06,0.0001240158473910147,74.22228696453385
b4,0.00013776965502145834,5.788940359806547e-06,1.080212689610615e-06,0.0001446388080708755,75.12037000060081
b5,0.0001724385362606143,6.396733667871429e-06,2.199542775217857e-06,0.00018103481270370357,74.4417573318351
b6,0.00020242789113481663,7.0233402463e-06,3.0963112496666665e-06,0.00021254754263078332,74.57442241627723
b7,0.0002375943187092572,7.211507135466667e-06,2.627985344993651e-06,0.0002474338111897175,75.690682283137
b8,0.0002655932338841947,7.719467560360715e-06,5.180379542123214e-06,0.0002784930809866786,75.13178312592208
b9,0.00030474139872696434,8.172194828214286e-06,2.124246084205357e-06,0.000315037839639384,75.25695199146867
DATA,2750
b0,1.6712175547293453e-05,4.561949846527381e-06,2.428426477496329e-06,2.3702551871317163e-05,78.10221246583387
b1,5.053631787646905e-05,5.0692545575261905e-06,1.028481323922619e-06,5.6634053757917856e-05,79.48561685835011
b2,9.310374651769821e-05,5.051898880907143e-06,1.1334159699752977e-06,9.928906136858065e-05,78.67668865341693
b3,0.00012766400274509524,5.495584835971428e-06,4.352029922994841e-06,0.0001375116175040615,79.45145376538858
b4,0.00015561212462166668,5.850049164464286e-06,1.471915600140873e-06,0.00016293408938627184,81.40348325809464
b5,0.00018911245473040718,6.54022275867857e-06,2.376825016524405e-06,0.00019802950250561016,79.4530204932671
b6,0.00022976173333720838,7.072958396729166e-06,1.962679541773611e-06,0.00023879737127571117,80.15391580946743
b7,0.0002705959004483047,7.136493536952381e-06,1.2133137456e-06,0.0002789457077308571,79.81033982289955
b8,0.00030326143771943035,7.655883174658928e-06,4.633073695003572e-06,0.00031555039458909284,81.24223460652865
b9,0.00034142646703880946,9.576074912083335e-06,9.403451316295635e-06,0.00036040599326718844,82.27232160733547
DATA,3000
b0,1.8321367679163096e-05,4.806266986720834e-06,1.0367952257630953e-06,2.4164429891647028e-05,84.00980840832926
b1,5.523051719166429e-05,5.193592403971428e-06,1.5836813309718255e-06,6.200779092660754e-05,83.76639480190352
b2,0.00010214343728010002,5.359000282451786e-06,2.2202486261017853e-06,0.00010972268618865359,84.27338585141115
b3,0.00014108991590401905,5.781295753657144e-06,3.3728697056333334e-06,0.00015024408136330952,85.59114404628053
b4,0.00016532132645979164,6.138700030982142e-06,1.1794294955e-06,0.0001726394559862738,88.16368757840246
b5,0.00021594346035270004,6.6904650468857154e-06,4.293699748814285e-06,0.00022692762514840004,84.7682233909145
b6,0.0002635018854764042,7.382380620854168e-06,1.201564575442361e-06,0.00027208583067270074,86.19018928101286
b7,0.0003064458162361142,7.298582839580953e-06,8.992282378057936e-06,0.0003227366814537531,85.18977089389227
b8,0.00035258871253712135,7.734923357432141e-06,2.7966976631428575e-06,0.00036312033355769636,85.99806263949722
b9,0.00039842315868190476,8.565810738154762e-06,2.3648285100029766e-06,0.0004093537979300625,86.15254767914303
DATA,3250
b0,2.2010806862945236e-05,4.623653108460714e-06,1.3525843516819446e-06,2.7987044323087896e-05,91.6970445967745
b1,6.44287419697619e-05,5.030276490347619e-06,1.379588271476389e-06,7.083860673158591e-05,91.89216717495583
b2,0.00010992068883275892,5.402559292542857e-06,1.8826974112366072e-06,0.00011720594553653839,93.48827498604078
b3,0.0001470886466522095,5.7000179021142855e-06,1.1783869316178571e-06,0.00015396705148594165,94.41559439827688
b4,0.00018645678868605656,5.9879472708333335e-06,1.2663270657266866e-06,0.0001937110630226166,94.89743536990136
b5,0.0002290223204043214,6.4985682478285715e-06,3.162279192889881e-06,0.00023868316784503987,93.07954029389657
b6,0.0002768161221562626,7.198898432162501e-06,1.8237760135284723e-06,0.0002858387966019536,93.40381737868302
b7,0.00032760781339474283,7.3964293632e-06,3.895694242111111e-06,0.00033889993700005397,95.8154371054843
b8,0.00038339432877752675,7.670625512062498e-06,4.317697104333035e-06,0.00039538265139392226,94.27471875026822
b9,0.0004079350832080952,8.579995852738094e-06,1.9553875077559524e-06,0.00041847046656858926,95.81094815582037
DATA,3500
b0,2.7715792095968448e-05,4.788762372401191e-06,9.770273223577382e-07,3.348158179072738e-05,102.38885354506783
b1,7.255688653372142e-05,5.142134059928572e-06,2.312563758875595e-06,8.001158435252559e-05,102.52831844822504
b2,0.00011758860838156072,5.651966923671429e-06,2.3564495634107143e-06,0.00012559702486864287,103.48896479373798
b3,0.00016014660886000954,5.790480368190477e-06,1.5937582781861113e-06,0.0001675308475063861,103.27202566759661
b4,0.00019330053547738098,6.074604156994047e-06,1.1682180532559522e-06,0.00020054335768763097,104.17472544801421
b5,0.00026298963542404285,6.671474381742858e-06,2.692862125557143e-06,0.00027235397193134283,103.51454203599133
b6,0.0003039337843397625,7.4387120549e-06,2.0607827334770834e-06,0.00031343327912813955,104.7565489555709
b7,0.000370382997281219,7.440554835504762e-06,3.5097881678555556e-06,0.0003813333402845793,104.86054783919826
b8,0.00037497787977505177,8.184548434114286e-06,8.065084693953571e-06,0.0003912275129031197,105.71851797495037
b9,0.00047331491932410725,8.603310330714285e-06,8.45858853103373e-06,0.0004903768181858553,104.33249049959704
DATA,3750
b0,3.594745977020417e-05,4.765391072613095e-06,1.0407720101139881e-06,4.175362285293125e-05,118.59776559262536
b1,7.991974097898334e-05,5.1803742757166665e-06,1.6700853371902777e-06,8.677020059189028e-05,117.55924691283144
b2,0.0001269944330921357,5.560418468941071e-06,2.3173961034488097e-06,0.0001348722476645256,118.36497324169613
b3,0.0001750496097855238,5.614396465561905e-06,2.7914003040345237e-06,0.00018345540655512023,118.49036697950214
b4,0.0002141755720090476,6.12337663327381e-06,1.3153993576349205e-06,0.00022161434799995632,119.1246761966031
b5,0.00027179977402002855,6.763002879557143e-06,2.4939399389994046e-06,0.0002810567168385851,118.61111543141305
b6,0.00033477867416673756,7.323707945458333e-06,1.3388007775770835e-06,0.000343441182889773,120.09708558674902
b7,0.00040296726298358094,7.338137439809524e-06,7.863507591305556e-06,0.00041816890801469605,118.99366834270768
b8,0.0004524456170786625,8.057767990982143e-06,3.012594035161607e-06,0.00046351597910480625,119.23680352885276
b9,0.0005081795176328571,8.486950444761907e-06,1.784558186218254e-06,0.0005184510262638373,119.64057370321825
